epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.01,1.26304,1.10861,1.60643,0.71026,0.68712,0.77083,0.45854,1.3373,1.01781,1.80008,0.067131,0.000332011,0.000332011
2,196.855,1.23548,1.06292,1.56908,0.84165,0.78301,0.85631,0.53213,1.22822,0.89662,1.7056,0.0341127,0.000647047,0.000647047
3,289.672,1.21824,1.04757,1.55667,0.8716,0.73975,0.84464,0.55805,1.11712,0.84454,1.6136,0.00107603,0.00094375,0.00094375
4,381.941,1.20873,1.04294,1.54879,0.77156,0.81754,0.85841,0.55256,1.15312,0.80842,1.65206,0.0009175,0.0009175,0.0009175
5,473.983,1.18551,1.03152,1.53804,0.84718,0.76144,0.86321,0.55064,1.17126,0.8519,1.66288,0.00089,0.00089,0.00089
6,565.911,1.16594,0.99689,1.51228,0.84658,0.7804,0.87273,0.55282,1.14915,0.80791,1.6507,0.0008625,0.0008625,0.0008625
7,657.556,1.15099,0.97796,1.50327,0.81599,0.7886,0.86372,0.56044,1.1292,0.78722,1.64212,0.000835,0.000835,0.000835
8,750.066,1.14232,0.95464,1.50458,0.80791,0.81032,0.86361,0.54323,1.16116,0.80936,1.65928,0.0008075,0.0008075,0.0008075
9,842.061,1.12663,0.93529,1.48276,0.838,0.79245,0.87117,0.56524,1.14026,0.76443,1.63302,0.00078,0.00078,0.00078
10,934.189,1.10868,0.93886,1.46894,0.8073,0.80127,0.86954,0.57759,1.10799,0.74139,1.59947,0.0007525,0.0007525,0.0007525
11,1026.36,1.09586,0.91363,1.46433,0.87331,0.79922,0.89854,0.59987,1.09168,0.70924,1.58362,0.000725,0.000725,0.000725
12,1118.74,1.08472,0.89297,1.44812,0.8842,0.77338,0.87505,0.59105,1.0698,0.73186,1.57479,0.0006975,0.0006975,0.0006975
13,1210.16,1.06994,0.87422,1.44236,0.81971,0.81426,0.87406,0.57999,1.10179,0.73889,1.58898,0.00067,0.00067,0.00067
14,1302.01,1.05363,0.85799,1.4187,0.82938,0.82609,0.86866,0.58978,1.08763,0.71613,1.58958,0.0006425,0.0006425,0.0006425
15,1393.75,1.05006,0.84167,1.42601,0.86108,0.83842,0.89542,0.61305,1.06505,0.69011,1.55982,0.000615,0.000615,0.000615
16,1486.18,1.02459,0.82031,1.40488,0.88158,0.81705,0.90216,0.60184,1.05546,0.69337,1.57948,0.0005875,0.0005875,0.0005875
17,1578.22,1.02236,0.82879,1.40509,0.82825,0.82454,0.88285,0.60513,1.06251,0.70583,1.56642,0.00056,0.00056,0.00056
18,1670.51,1.00548,0.8059,1.38561,0.87067,0.84517,0.91477,0.61964,1.08637,0.67357,1.58741,0.0005325,0.0005325,0.0005325
19,1763.02,1.00119,0.79817,1.38488,0.8714,0.8045,0.88059,0.59629,1.0669,0.69455,1.57011,0.000505,0.000505,0.000505
20,1855.25,0.9811,0.78474,1.37196,0.82088,0.82624,0.88939,0.60049,1.0524,0.6957,1.57977,0.0004775,0.0004775,0.0004775
21,1947.28,0.95934,0.76689,1.35086,0.87878,0.82206,0.89173,0.61254,1.05041,0.66406,1.5742,0.00045,0.00045,0.00045
22,2039.37,0.95702,0.74994,1.35321,0.85591,0.82682,0.90372,0.6171,1.04891,0.69488,1.56888,0.0004225,0.0004225,0.0004225
