epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.402,1.45099,1.28172,1.76843,0.71686,0.66143,0.72313,0.42594,1.38159,1.06986,1.86012,0.0670427,0.000332902,0.000332902
2,345.504,1.34322,1.19011,1.67012,0.76696,0.72987,0.80759,0.48764,1.26886,0.86242,1.74691,0.0340207,0.00064425,0.00064425
3,506.979,1.30798,1.14664,1.6399,0.73993,0.7202,0.78659,0.4836,1.25411,0.8988,1.73898,0.000976719,0.000933597,0.000933597
4,667.439,1.28209,1.12218,1.62371,0.73964,0.7886,0.82787,0.50564,1.22627,0.8405,1.72024,0.000901,0.000901,0.000901
5,827.318,1.24805,1.09974,1.60544,0.7539,0.76942,0.818,0.50737,1.18009,0.85432,1.65779,0.000868,0.000868,0.000868
6,988.12,1.22857,1.05964,1.58105,0.76174,0.79521,0.84346,0.52854,1.16586,0.79996,1.66296,0.000835,0.000835,0.000835
7,1148.13,1.20825,1.03496,1.56842,0.76336,0.80799,0.85208,0.54361,1.17511,0.79972,1.66742,0.000802,0.000802,0.000802
8,1308.45,1.19158,1.02508,1.54815,0.80648,0.77047,0.8526,0.54128,1.16887,0.79559,1.65575,0.000769,0.000769,0.000769
9,1467.15,1.17974,1.00712,1.54334,0.79582,0.80241,0.85697,0.55114,1.13842,0.76238,1.62068,0.000736,0.000736,0.000736
10,1627.95,1.15222,0.96384,1.52406,0.81142,0.79409,0.86945,0.56021,1.13282,0.74635,1.62155,0.000703,0.000703,0.000703
11,1789.15,1.14716,0.95359,1.5142,0.82008,0.80874,0.87787,0.57963,1.10637,0.70613,1.60383,0.00067,0.00067,0.00067
12,1949.14,1.12358,0.92078,1.49274,0.8279,0.80039,0.87283,0.5655,1.10617,0.72938,1.59146,0.000637,0.000637,0.000637
13,2109.61,1.10667,0.91333,1.48045,0.85772,0.78053,0.88144,0.58283,1.10131,0.69659,1.59996,0.000604,0.000604,0.000604
14,2270.17,1.09665,0.89696,1.46974,0.82081,0.80352,0.87228,0.58444,1.08409,0.70634,1.5824,0.000571,0.000571,0.000571
15,2430.28,1.08294,0.88285,1.4566,0.83638,0.83702,0.8964,0.60001,1.05419,0.67445,1.54658,0.000538,0.000538,0.000538
16,2600.56,1.06384,0.85023,1.44714,0.84604,0.82378,0.88953,0.60609,1.05494,0.66179,1.56318,0.000505,0.000505,0.000505
17,2809.97,1.0591,0.84288,1.44762,0.85385,0.79698,0.89317,0.60077,1.05509,0.67055,1.55549,0.000472,0.000472,0.000472
18,3023.05,1.03743,0.82799,1.42536,0.83873,0.8431,0.8951,0.60961,1.04474,0.63787,1.55359,0.000439,0.000439,0.000439
19,3213.59,1.01603,0.79907,1.40718,0.86737,0.78834,0.88246,0.6084,1.03346,0.64078,1.54749,0.000406,0.000406,0.000406
20,3373.25,1.02377,0.80475,1.41886,0.86224,0.82321,0.90417,0.62344,1.03329,0.63591,1.53994,0.000373,0.000373,0.000373
21,3534.64,0.9509,0.62445,1.43594,0.81725,0.84552,0.89461,0.62361,1.01677,0.63579,1.53246,0.00034,0.00034,0.00034
22,3715.78,0.91551,0.5896,1.40732,0.85032,0.84377,0.90286,0.62759,1.01245,0.60802,1.5261,0.000307,0.000307,0.000307
23,3928.94,0.89181,0.56218,1.38032,0.85843,0.83261,0.90654,0.62629,1.01157,0.61566,1.52002,0.000274,0.000274,0.000274
24,4140.38,0.88241,0.55867,1.38476,0.85237,0.84761,0.90789,0.63985,1.00014,0.59061,1.52346,0.000241,0.000241,0.000241
25,4318.28,0.86215,0.53639,1.36494,0.86431,0.82848,0.90979,0.64607,0.98838,0.58873,1.5106,0.000208,0.000208,0.000208
26,4478.14,0.84735,0.51731,1.3479,0.84576,0.86811,0.91487,0.65004,0.98348,0.58215,1.50859,0.000175,0.000175,0.000175
27,4638.65,0.82856,0.50609,1.33619,0.86358,0.82846,0.90553,0.64925,0.97871,0.5752,1.51511,0.000142,0.000142,0.000142
28,4799.1,0.80325,0.48661,1.31592,0.86825,0.83014,0.91225,0.65592,0.97558,0.57172,1.50723,0.000109,0.000109,0.000109
29,4960.4,0.79767,0.48447,1.30852,0.85533,0.85697,0.9146,0.65889,0.96934,0.56898,1.50523,7.6e-05,7.6e-05,7.6e-05
30,5120.72,0.78067,0.47661,1.29532,0.84908,0.87395,0.91877,0.65891,0.96248,0.56215,1.49841,4.3e-05,4.3e-05,4.3e-05
