epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.1199,1.45507,1.26526,1.77071,0.76747,0.68649,0.77903,0.43838,1.43552,1.03967,1.89449,0.0671467,0.000331852,0.000331852
2,177.201,1.34069,1.15054,1.66131,0.77034,0.71055,0.79177,0.46739,1.34356,0.92935,1.84255,0.0341279,0.00064637,0.00064637
3,259.708,1.30838,1.14356,1.64915,0.7967,0.74044,0.83903,0.50969,1.28168,0.8895,1.76971,0.00109018,0.000942031,0.000942031
4,341.988,1.27778,1.11758,1.62321,0.75787,0.76909,0.82379,0.51209,1.25822,0.90808,1.73683,0.000915143,0.000915143,0.000915143
5,424.052,1.25182,1.07314,1.60582,0.81387,0.75671,0.84392,0.52111,1.27121,0.8973,1.7556,0.000886857,0.000886857,0.000886857
6,506.285,1.23504,1.03806,1.57624,0.80867,0.79167,0.84866,0.53805,1.20442,0.84743,1.70363,0.000858571,0.000858571,0.000858571
7,588.504,1.20765,1.01785,1.56822,0.84921,0.80217,0.87411,0.54789,1.2324,0.79877,1.7223,0.000830286,0.000830286,0.000830286
8,670.384,1.205,1.01938,1.56082,0.80348,0.79773,0.84586,0.53683,1.24252,0.81196,1.74387,0.000802,0.000802,0.000802
9,751.723,1.18006,0.97056,1.54414,0.82298,0.79181,0.87016,0.54799,1.20206,0.79322,1.70284,0.000773714,0.000773714,0.000773714
10,833.352,1.15399,0.95774,1.51988,0.82347,0.80782,0.86584,0.56301,1.17374,0.80754,1.69255,0.000745429,0.000745429,0.000745429
11,915.367,1.14062,0.9383,1.52146,0.78309,0.83883,0.88204,0.57808,1.17314,0.75426,1.68339,0.000717143,0.000717143,0.000717143
12,997.474,1.11992,0.90725,1.49632,0.82384,0.84346,0.88665,0.57451,1.16955,0.74296,1.66508,0.000688857,0.000688857,0.000688857
13,1079.34,1.10101,0.89427,1.47658,0.84032,0.81622,0.8888,0.57516,1.18487,0.73584,1.66998,0.000660571,0.000660571,0.000660571
14,1161.14,1.08902,0.88677,1.46793,0.82961,0.8435,0.89087,0.59359,1.13072,0.7322,1.63248,0.000632286,0.000632286,0.000632286
15,1243.2,1.07308,0.85456,1.45094,0.83779,0.8591,0.89851,0.58891,1.15103,0.71727,1.65242,0.000604,0.000604,0.000604
16,1325.11,1.06772,0.85052,1.44297,0.83356,0.842,0.89592,0.60298,1.14083,0.69289,1.66195,0.000575714,0.000575714,0.000575714
17,1407.17,1.05931,0.83273,1.44118,0.81442,0.86421,0.89663,0.59754,1.12161,0.69431,1.62909,0.000547429,0.000547429,0.000547429
18,1488.73,1.04569,0.81912,1.43383,0.81208,0.85088,0.90269,0.60049,1.13367,0.69008,1.64735,0.000519143,0.000519143,0.000519143
19,1570.33,1.01472,0.80394,1.40299,0.85631,0.81893,0.89382,0.59799,1.12749,0.69989,1.64042,0.000490857,0.000490857,0.000490857
20,1652.55,1.02448,0.80202,1.41373,0.84476,0.8313,0.90159,0.60612,1.10132,0.67176,1.62025,0.000462571,0.000462571,0.000462571
21,1734.84,0.99772,0.78574,1.39852,0.81301,0.86981,0.89649,0.59877,1.114,0.67667,1.63133,0.000434286,0.000434286,0.000434286
22,1816.68,0.9926,0.76571,1.39402,0.83775,0.87937,0.91351,0.61035,1.11898,0.65381,1.62109,0.000406,0.000406,0.000406
23,1898.66,0.97614,0.74036,1.37556,0.87167,0.85235,0.91092,0.60957,1.13379,0.65382,1.64145,0.000377714,0.000377714,0.000377714
24,1980.68,0.95772,0.72634,1.35399,0.85036,0.85412,0.91403,0.62604,1.11196,0.65379,1.62482,0.000349429,0.000349429,0.000349429
25,2063.19,0.94102,0.72344,1.3448,0.88314,0.83166,0.92272,0.63107,1.08869,0.6478,1.60296,0.000321143,0.000321143,0.000321143
26,2146.18,0.86721,0.53691,1.36736,0.85873,0.87004,0.91292,0.6388,1.0973,0.65115,1.61379,0.000292857,0.000292857,0.000292857
27,2228.56,0.859,0.52293,1.35888,0.83634,0.88907,0.91176,0.63699,1.0741,0.6436,1.59287,0.000264571,0.000264571,0.000264571
28,2309.97,0.82826,0.49592,1.32722,0.85672,0.87382,0.9207,0.64191,1.06257,0.65226,1.58363,0.000236286,0.000236286,0.000236286
29,2392.4,0.82076,0.48739,1.31641,0.86759,0.84322,0.91668,0.63926,1.07629,0.64555,1.61381,0.000208,0.000208,0.000208
30,2474.38,0.78412,0.46121,1.29323,0.86711,0.86993,0.92094,0.64707,1.05794,0.62485,1.60303,0.000179714,0.000179714,0.000179714
31,2556.95,0.77582,0.45757,1.28414,0.86071,0.87994,0.92516,0.65159,1.05525,0.6187,1.59424,0.000151429,0.000151429,0.000151429
32,2639.15,0.76044,0.44767,1.26467,0.87741,0.86809,0.928,0.65484,1.05111,0.61504,1.59012,0.000123143,0.000123143,0.000123143
33,2721.2,0.74147,0.43524,1.2478,0.86319,0.87563,0.92326,0.65255,1.0468,0.63086,1.5838,9.48571e-05,9.48571e-05,9.48571e-05
34,2803.33,0.73303,0.42489,1.24019,0.86034,0.90644,0.92651,0.65782,1.04751,0.61997,1.59347,6.65714e-05,6.65714e-05,6.65714e-05
35,2885.7,0.71553,0.41562,1.22786,0.85011,0.89535,0.92597,0.65731,1.04791,0.62825,1.59287,3.82857e-05,3.82857e-05,3.82857e-05
