epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.435,1.4081,1.14366,1.6078,0.76292,0.64814,0.74069,0.43961,1.36477,1.0289,1.6924,0.0800545,1.99655e-05,1.99655e-05
2,321.186,1.2946,1.0514,1.52486,0.77025,0.72079,0.79959,0.48219,1.37346,0.8804,1.64094,0.0600741,3.95698e-05,3.95698e-05
3,469.699,1.24917,1.00621,1.4873,0.79671,0.7833,0.84522,0.53114,1.19676,0.74552,1.5467,0.0400933,5.87781e-05,5.87781e-05
4,615.661,1.20579,0.95484,1.45852,0.82426,0.83184,0.88249,0.58595,1.07806,0.67943,1.45822,0.0201121,7.75905e-05,7.75905e-05
5,759.394,1.16745,0.91166,1.43222,0.85327,0.8252,0.89961,0.60006,1.03266,0.6498,1.41864,0.000130549,9.60068e-05,9.60068e-05
6,902.672,1.15004,0.89389,1.41872,0.8541,0.83673,0.90129,0.60649,1.0136,0.63467,1.40904,9.505e-05,9.505e-05,9.505e-05
7,1045.97,1.12157,0.87201,1.39476,0.82586,0.85827,0.90251,0.61867,0.99806,0.61964,1.39773,9.406e-05,9.406e-05,9.406e-05
8,1189.34,1.11335,0.86891,1.39181,0.85608,0.83844,0.90438,0.61586,0.99504,0.62138,1.3922,9.307e-05,9.307e-05,9.307e-05
9,1332.25,1.09972,0.8565,1.38545,0.8186,0.86013,0.89728,0.61369,0.99328,0.60635,1.38575,9.208e-05,9.208e-05,9.208e-05
10,1475.13,1.08921,0.83848,1.37692,0.83134,0.85505,0.90407,0.61559,0.9865,0.60381,1.38741,9.109e-05,9.109e-05,9.109e-05
11,1617.94,1.07898,0.82784,1.37552,0.85299,0.84223,0.90703,0.62059,0.98073,0.6035,1.3825,9.01e-05,9.01e-05,9.01e-05
12,1761.68,1.07038,0.81949,1.36114,0.85137,0.84894,0.90473,0.61799,0.98313,0.59685,1.38213,8.911e-05,8.911e-05,8.911e-05
13,1904.36,1.06008,0.81546,1.35462,0.84843,0.86554,0.90623,0.633,0.98456,0.59166,1.3809,8.812e-05,8.812e-05,8.812e-05
14,2047.61,1.0492,0.80371,1.35114,0.86127,0.85012,0.91101,0.62269,0.97001,0.58119,1.38095,8.713e-05,8.713e-05,8.713e-05
15,2190.49,1.03796,0.78699,1.34022,0.85802,0.84974,0.91064,0.62791,0.96062,0.58087,1.37027,8.614e-05,8.614e-05,8.614e-05
16,2333.66,1.04422,0.78577,1.34307,0.88005,0.84396,0.91467,0.62968,0.96367,0.57617,1.36917,8.515e-05,8.515e-05,8.515e-05
17,2476.56,1.03359,0.78516,1.33802,0.87522,0.83651,0.91446,0.63387,0.94834,0.57245,1.36746,8.416e-05,8.416e-05,8.416e-05
18,2619.53,1.03095,0.77865,1.33778,0.86141,0.85991,0.91194,0.63129,0.95024,0.57699,1.36529,8.317e-05,8.317e-05,8.317e-05
19,2762.82,1.02248,0.77059,1.32758,0.87122,0.84842,0.91363,0.63701,0.94691,0.56549,1.36046,8.218e-05,8.218e-05,8.218e-05
20,2906.08,1.01699,0.76854,1.32522,0.85178,0.874,0.91437,0.64097,0.94393,0.55931,1.35423,8.119e-05,8.119e-05,8.119e-05
21,3050.26,1.00815,0.75415,1.31533,0.86491,0.8551,0.91489,0.63932,0.95264,0.56012,1.35782,8.02e-05,8.02e-05,8.02e-05
22,3193.39,1.00376,0.7546,1.31458,0.84095,0.87698,0.91417,0.63746,0.93767,0.55712,1.35183,7.921e-05,7.921e-05,7.921e-05
23,3336.58,0.99848,0.74895,1.30996,0.86035,0.86071,0.91632,0.64142,0.93688,0.5512,1.347,7.822e-05,7.822e-05,7.822e-05
24,3480.13,0.99843,0.74729,1.30818,0.88194,0.8388,0.91278,0.63604,0.94182,0.55584,1.35117,7.723e-05,7.723e-05,7.723e-05
25,3622.89,0.98527,0.73311,1.29797,0.88054,0.84146,0.91641,0.64818,0.93422,0.55089,1.34834,7.624e-05,7.624e-05,7.624e-05
26,3765.98,0.97939,0.7288,1.29568,0.89868,0.8364,0.92072,0.65215,0.92899,0.53938,1.34095,7.525e-05,7.525e-05,7.525e-05
27,3908.73,0.97365,0.72628,1.2934,0.86442,0.84017,0.91294,0.64566,0.92622,0.54411,1.34059,7.426e-05,7.426e-05,7.426e-05
28,4051.67,0.97087,0.71929,1.28889,0.85465,0.86794,0.91394,0.64849,0.92994,0.54479,1.34737,7.327e-05,7.327e-05,7.327e-05
29,4194.69,0.97072,0.71775,1.28841,0.83566,0.86782,0.90709,0.64247,0.92842,0.54944,1.35003,7.228e-05,7.228e-05,7.228e-05
30,4337.61,0.96791,0.71704,1.2861,0.85303,0.86249,0.91204,0.6461,0.92189,0.54619,1.34572,7.129e-05,7.129e-05,7.129e-05
31,4480.16,0.95722,0.71935,1.28551,0.86534,0.84849,0.91086,0.64993,0.91433,0.54425,1.34045,7.03e-05,7.03e-05,7.03e-05
32,4623.07,0.95767,0.712,1.28755,0.8732,0.84969,0.9146,0.65318,0.91727,0.53897,1.34395,6.931e-05,6.931e-05,6.931e-05
33,4766.15,0.95396,0.70309,1.28447,0.85804,0.86614,0.91403,0.65425,0.91474,0.53576,1.33853,6.832e-05,6.832e-05,6.832e-05
34,4909.57,0.95181,0.70497,1.28135,0.86202,0.85575,0.91433,0.65526,0.91493,0.53558,1.33592,6.733e-05,6.733e-05,6.733e-05
35,5052.67,0.95043,0.69868,1.27598,0.88791,0.84652,0.91431,0.64787,0.9185,0.53702,1.34158,6.634e-05,6.634e-05,6.634e-05
36,5196.2,0.9328,0.69169,1.26753,0.86842,0.86375,0.91436,0.65432,0.91473,0.53732,1.33729,6.535e-05,6.535e-05,6.535e-05
37,5338.47,0.93868,0.69458,1.27395,0.86376,0.87631,0.91625,0.65892,0.9053,0.53172,1.33347,6.436e-05,6.436e-05,6.436e-05
38,5481.46,0.93243,0.69288,1.26623,0.86342,0.86726,0.91711,0.65896,0.91078,0.53096,1.3322,6.337e-05,6.337e-05,6.337e-05
39,5624.69,0.9333,0.69089,1.26491,0.88259,0.84243,0.91386,0.65432,0.91167,0.53139,1.33495,6.238e-05,6.238e-05,6.238e-05
40,5768.04,0.92865,0.68584,1.26385,0.85519,0.87261,0.91545,0.65843,0.90359,0.52741,1.33002,6.139e-05,6.139e-05,6.139e-05
41,5911.05,0.92267,0.67986,1.25607,0.85758,0.86871,0.91389,0.65947,0.90738,0.52526,1.32947,6.04e-05,6.04e-05,6.04e-05
42,6054.51,0.92579,0.68054,1.26038,0.84433,0.88341,0.91449,0.66035,0.90689,0.5273,1.33389,5.941e-05,5.941e-05,5.941e-05
43,6197.32,0.91614,0.67008,1.25366,0.85372,0.88037,0.9153,0.66002,0.90085,0.52425,1.3296,5.842e-05,5.842e-05,5.842e-05
44,6340.52,0.91275,0.6735,1.2515,0.86791,0.86538,0.91654,0.66363,0.90057,0.52106,1.32602,5.743e-05,5.743e-05,5.743e-05
45,6483.75,0.91579,0.67278,1.25511,0.86723,0.87939,0.91777,0.66494,0.89802,0.51818,1.32704,5.644e-05,5.644e-05,5.644e-05
46,6627.05,0.91479,0.6702,1.24954,0.87961,0.87413,0.91778,0.66203,0.89788,0.51998,1.32555,5.545e-05,5.545e-05,5.545e-05
47,6769.34,0.90337,0.66295,1.24589,0.85302,0.883,0.91687,0.66339,0.89906,0.52316,1.32896,5.446e-05,5.446e-05,5.446e-05
48,6912.09,0.90094,0.65974,1.24499,0.85929,0.87686,0.91766,0.66665,0.89207,0.52094,1.32752,5.347e-05,5.347e-05,5.347e-05
49,7055.44,0.90255,0.66254,1.24282,0.87326,0.86723,0.91669,0.66866,0.89068,0.51631,1.31982,5.248e-05,5.248e-05,5.248e-05
50,7197.86,0.89961,0.65639,1.23805,0.86235,0.8628,0.91735,0.6674,0.89013,0.51958,1.31991,5.149e-05,5.149e-05,5.149e-05
51,7340.76,0.90115,0.65457,1.24457,0.87315,0.87011,0.92022,0.66939,0.88952,0.51701,1.32209,5.05e-05,5.05e-05,5.05e-05
52,7483.72,0.89858,0.65263,1.24168,0.85915,0.87098,0.91819,0.66925,0.88624,0.51356,1.31836,4.951e-05,4.951e-05,4.951e-05
53,7626.54,0.89167,0.65733,1.23798,0.86012,0.86186,0.91726,0.66655,0.89202,0.51755,1.32665,4.852e-05,4.852e-05,4.852e-05
