epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.089,1.2122,1.01118,1.46281,0.79284,0.67381,0.78172,0.49201,1.29276,1.0418,1.63459,0.0800381,1.99819e-05,1.99819e-05
2,602.329,1.13625,0.92969,1.41374,0.82424,0.77503,0.85733,0.5619,1.09619,0.72202,1.48079,0.0600577,3.95861e-05,3.95861e-05
3,884.285,1.09874,0.88256,1.38951,0.81418,0.80975,0.87795,0.61755,0.95951,0.63111,1.38405,0.0400769,5.87943e-05,5.87943e-05
4,1162.2,1.06082,0.84029,1.36322,0.83608,0.85316,0.90311,0.64329,0.93131,0.585,1.35677,0.0200957,7.76064e-05,7.76064e-05
5,1435.46,1.03335,0.81435,1.34945,0.86725,0.85938,0.91444,0.6693,0.87136,0.55774,1.30824,0.000114122,9.60226e-05,9.60226e-05
6,1707.57,1.00551,0.79154,1.3248,0.87903,0.85531,0.92281,0.6731,0.86401,0.53675,1.30511,9.505e-05,9.505e-05,9.505e-05
7,1981.46,0.99838,0.77458,1.31827,0.88158,0.85209,0.92061,0.67575,0.85464,0.53939,1.2947,9.406e-05,9.406e-05,9.406e-05
8,2254.47,0.98942,0.77008,1.31261,0.86315,0.87177,0.92439,0.67808,0.87494,0.53378,1.31096,9.307e-05,9.307e-05,9.307e-05
9,2555.93,0.98138,0.75148,1.30596,0.87333,0.86191,0.91937,0.67576,0.87768,0.53274,1.30886,9.208e-05,9.208e-05,9.208e-05
10,2842.7,0.97683,0.75335,1.30445,0.87692,0.86552,0.92549,0.69027,0.85034,0.5174,1.29082,9.109e-05,9.109e-05,9.109e-05
11,3114.91,0.96958,0.74783,1.2977,0.88706,0.85754,0.92974,0.68933,0.8572,0.51863,1.29025,9.01e-05,9.01e-05,9.01e-05
12,3387.46,0.96717,0.74231,1.29688,0.88876,0.85859,0.92663,0.68713,0.85014,0.51503,1.28913,8.911e-05,8.911e-05,8.911e-05
13,3659.56,0.95835,0.73148,1.28981,0.89769,0.8511,0.92487,0.68673,0.85158,0.51458,1.29326,8.812e-05,8.812e-05,8.812e-05
14,3931.6,0.95447,0.73223,1.28957,0.88099,0.8615,0.93073,0.69383,0.83731,0.51127,1.2817,8.713e-05,8.713e-05,8.713e-05
15,4203.59,0.9474,0.72666,1.2812,0.87093,0.86824,0.927,0.68911,0.83683,0.51059,1.28141,8.614e-05,8.614e-05,8.614e-05
16,4475.2,0.93936,0.7133,1.2762,0.89288,0.86137,0.92931,0.69097,0.8324,0.50151,1.27532,8.515e-05,8.515e-05,8.515e-05
17,4747.82,0.93824,0.7168,1.27234,0.88261,0.85955,0.929,0.69504,0.83143,0.50476,1.2731,8.416e-05,8.416e-05,8.416e-05
18,5020.48,0.92859,0.7128,1.27018,0.87557,0.8645,0.93011,0.70079,0.818,0.50204,1.26641,8.317e-05,8.317e-05,8.317e-05
19,5294.04,0.92695,0.7104,1.26794,0.88481,0.85852,0.93004,0.70066,0.82306,0.49895,1.27133,8.218e-05,8.218e-05,8.218e-05
20,5609.16,0.92305,0.70098,1.26398,0.90137,0.84715,0.93134,0.70047,0.82479,0.50046,1.27053,8.119e-05,8.119e-05,8.119e-05
21,5881.24,0.91786,0.69905,1.26266,0.89775,0.86261,0.93476,0.70628,0.8172,0.48952,1.26509,8.02e-05,8.02e-05,8.02e-05
22,6153.67,0.91646,0.69533,1.26006,0.86925,0.88102,0.93318,0.70317,0.82795,0.49684,1.26895,7.921e-05,7.921e-05,7.921e-05
23,6425.28,0.90969,0.68928,1.25693,0.88616,0.87225,0.93551,0.70622,0.80853,0.49369,1.25769,7.822e-05,7.822e-05,7.822e-05
24,6697.64,0.9114,0.68556,1.25868,0.88806,0.8738,0.93628,0.70847,0.814,0.48923,1.26451,7.723e-05,7.723e-05,7.723e-05
25,6970.94,0.91037,0.68693,1.25474,0.88421,0.87418,0.93515,0.71036,0.807,0.48309,1.25649,7.624e-05,7.624e-05,7.624e-05
26,7286.47,0.90624,0.68755,1.25447,0.88358,0.87391,0.93507,0.71162,0.81154,0.48656,1.25916,7.525e-05,7.525e-05,7.525e-05
27,7559.26,0.89686,0.67669,1.24531,0.90372,0.85805,0.93704,0.71468,0.80745,0.48244,1.25436,7.426e-05,7.426e-05,7.426e-05
28,7830.61,0.89691,0.6775,1.24361,0.89976,0.86247,0.93833,0.71156,0.81172,0.48341,1.2579,7.327e-05,7.327e-05,7.327e-05
29,8102.79,0.88913,0.67068,1.24151,0.89335,0.86949,0.93682,0.71325,0.80377,0.47941,1.25224,7.228e-05,7.228e-05,7.228e-05
