epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.745,1.40189,1.13892,1.60387,0.76814,0.68307,0.76209,0.46416,1.31747,0.95336,1.66157,0.0800545,1.99655e-05,1.99655e-05
2,321.207,1.29678,1.05179,1.5271,0.78711,0.74713,0.81404,0.47676,1.35514,0.86646,1.63217,0.0600741,3.95698e-05,3.95698e-05
3,469.943,1.24701,1.00337,1.48645,0.80471,0.81452,0.8701,0.55653,1.11028,0.72857,1.48981,0.0400933,5.87781e-05,5.87781e-05
4,615.63,1.2055,0.95612,1.45943,0.83218,0.8213,0.89121,0.59414,1.05642,0.68081,1.44488,0.0201121,7.75905e-05,7.75905e-05
5,758.948,1.16658,0.91062,1.42868,0.8424,0.84559,0.89819,0.60543,1.02374,0.65475,1.42073,0.000130549,9.60068e-05,9.60068e-05
6,902.014,1.14831,0.89421,1.41894,0.84812,0.83988,0.89869,0.60856,1.0041,0.64191,1.40937,9.505e-05,9.505e-05,9.505e-05
7,1045.54,1.12103,0.87306,1.39839,0.83807,0.85053,0.90293,0.61509,0.98882,0.62492,1.39457,9.406e-05,9.406e-05,9.406e-05
8,1188.57,1.11159,0.86442,1.39551,0.85791,0.85808,0.9118,0.62429,0.98398,0.61589,1.38833,9.307e-05,9.307e-05,9.307e-05
9,1331.98,1.09924,0.85433,1.3878,0.85662,0.83782,0.899,0.61808,0.98212,0.61533,1.38659,9.208e-05,9.208e-05,9.208e-05
10,1474.24,1.08615,0.83674,1.37852,0.83975,0.85204,0.90409,0.61774,0.98657,0.60918,1.38949,9.109e-05,9.109e-05,9.109e-05
11,1617.06,1.0776,0.82919,1.37473,0.84566,0.85978,0.90946,0.62476,0.9805,0.60637,1.37869,9.01e-05,9.01e-05,9.01e-05
12,1760.03,1.0664,0.81564,1.35828,0.85472,0.84658,0.91425,0.62893,0.97251,0.59437,1.37153,8.911e-05,8.911e-05,8.911e-05
13,1903.09,1.05738,0.8105,1.35146,0.8521,0.84462,0.911,0.63671,0.96848,0.59106,1.36835,8.812e-05,8.812e-05,8.812e-05
14,2046.17,1.04837,0.80467,1.34748,0.86596,0.85604,0.91184,0.62923,0.96964,0.58548,1.38141,8.713e-05,8.713e-05,8.713e-05
15,2189.37,1.03817,0.78706,1.34004,0.88596,0.8311,0.91407,0.63296,0.96006,0.57693,1.37269,8.614e-05,8.614e-05,8.614e-05
16,2332.37,1.04326,0.78404,1.34443,0.87095,0.84883,0.91449,0.63511,0.96199,0.5797,1.3713,8.515e-05,8.515e-05,8.515e-05
